categoria_id,nombre,descripcion,precio,url_imagen,orden
menu-brasa,Chifa + 1/8 pollo,Chifa + 1/8 pollo + refresco + caldito,10.00,/menu-brasa-1-8-pollo-completo.webp,1
menu-brasa,Chaufa,Chaufa + refresco + caldito,10.00,/menu-chaufa-completo.webp,2
menu-brasa,Mostrito,Mostrito + refresco + caldito,10.00,/menu-mostrito-completo.webp,3
pollos,1/8 de pollo,1/8 pollo + papas + cremas + ensalada + chicha,10.00,/combo-octavo-chicha.webp,1
pollos,1/4 de pollo,1/4 pollo + papas + cremas + ensalada + chicha,15.00,/combo-cuarto-chicha.webp,2
pollos,1/2 pollo,1/2 pollo + papas + cremas + ensalada + chicha,35.00,/pollo-brasa-medio-completo.webp,3
pollos,1 pollo,1 pollo + ensalada + papas + cremas + chicha,60.00,/pollo-brasa-entero-completo.webp,4
mostros,Mostrito brasa,1/8 pollo + chaufa + ensalada + papas + cremas + chicha,10.00,/pollo-mostrito-octavo-completo.webp,1
mostros,Mostrito broaster,1/8 pollo broaster + chaufa + papas + ensalada + cremas + chicha,12.00,/mostrito-broaster-completo.webp,2
mostros,Mostrito pollo a la plancha,Pechuga + chaufa + papas + ensalada + chicha,10.00,/mostrito-plancha.webp,3
mostros,Mostrito a la cubana,1/8 pollo + huevo frito + plátano frito + chaufa + papas + ensalada + cremas + chicha,14.00,/mostrito-cubana.webp,4
mostrazos,Mostrazo brasa,1/4 pollo + chaufa + ensalada + papas + cremas + chicha,17.00,/pollo-mostrito-cuarto-completo.webp,1
mostrazos,Mostrazo broaster,1/4 pollo broaster + chaufa + papas + ensalada + cremas + chicha,19.00,/mostrazo-broaster-completo.webp,2
mostrazos,Mostrazo pollo a la plancha,Pechuga + chaufa + papas + ensalada + chicha,15.00,/mostrazo-plancha-completo.webp,3
mostrazos,Mostrazo a la cubana,1/4 pollo + huevo frito + plátano frito + chaufa + papas + ensalada + cremas + chicha,20.00,/mostrazo-cubana.webp,4
chifa,Chaufa de pollo,Chaufa de pollo + cremas + chicha,10.00,/chaufa-pollo-completo.webp,1
chifa,Chaufa de chancho,Chaufa de chancho + cremas + chicha,12.00,/chaufa-chancho-completo.webp,2
chifa,Chaufa de res,Chaufa de res + cremas + chicha,12.00,/chaufa-res-completo.webp,3
chifa,Aeropuerto simple,Aeropuerto simple + cremas + chicha,10.00,/aeropuerto-completo.webp,4
chifa,Aeropuerto especial,Aeropuerto especial + cremas + chicha,13.00,/aeropuerto-especial-completo.webp,5
chifa,Combinado simple,Combinado simple + cremas + chicha,12.00,/combinado-completo.webp,6
bebidas,Inca o Coca Cola personal,,2.50,/bebida-personal.webp,1
bebidas,Inca o Coca Cola 600 ml,,4.00,/bebida-inca-600.webp,2
bebidas,Inca o Coca Cola 1 L,,7.00,/bebida-inca-1l.webp,3
bebidas,Inca o Coca Cola 1.5 L,,9.00,/bebida-inca-1-5l.webp,4
bebidas,Inca o Coca Cola 2.25 L,,11.00,/bebida-inca-2-25l.webp,5
bebidas,Inca o Coca Cola 3 L,,14.00,/bebida-inca-3l.webp,6
bebidas,Gordita,,5.00,/bebida-gordita.webp,7
bebidas,Pepsi 750 ml,,4.00,/bebida-pepsi-750.webp,8
bebidas,Pepsi 1 L,,5.50,/bebida-pepsi-1l.webp,9
bebidas,Pepsi 1.5 L,,6.50,/bebida-pepsi-1-5l.webp,10
bebidas,Pepsi 2 L,,7.50,/bebida-pepsi-2l.webp,11
bebidas,Pepsi 3 L,,11.00,/bebida-pepsi-3l.webp,12
bebidas,Agua Cielo o San Luis,,2.00,/bebida-agua.webp,13
bebidas,Cerveza Pilsen,,8.00,/bebida-pilsen.webp,14
bebidas,Cusqueña trigo o negra,,10.00,/bebida-cusquena.webp,15
bebidas,Concordia 1.5 L,,5.50,/bebida-concordia.webp,16
bebidas,"Pepsi, Concordia o 7up 355 ml",,1.50,/bebida-mix-355.webp,17
bebidas,Gatorade,,3.00,/bebida-gatorade.webp,18
bebidas,Chicha o maracuyá 1 L,,10.00,/bebida-chicha-maracuya-1l.webp,19
bebidas,Chicha o maracuyá 500 ml,,6.00,/bebida-chicha-maracuya-500.webp,20
bebidas,"Infusiones (té, anís y manzanilla)",,2.50,/bebida-infusiones.webp,21

